dish-name	dish-classification	dish-ingredients	dish-combination	dish-price	dish-difficulty
STRING	SYMBOL	INSTANCE	SYMBOL	FLOAT	INTEGER
Spaghetti_Bolognese	[Italian Mediterranean Hot Pasta Classical]	[[pasta] [veal] [pork] [onion] [garlic] [carrot] [tomato] [cheese] [oregano] [oil] [salt]]	[Spanish Italian Pasta Hot French American Gourmet Mediterranean]	5.50	3
Mediterranean_Salad	[Vegetarian Kosher Spanish Gluten-free Vegan Mediterranean Cold Vegetables Classical Islamic]	[[onion] [tomato] [carrot] [oregano] [oil] [lettuce] [garlic] [cheese] [vinegar] [olive]  [salt]]	[Spanish Italian French Gourmet Mediterranean Vegetables Cold]	2.2	2
Kirmizi_Mercimek_Corbasi	[Vegetarian Turkish Gourmet Mediterranean Soup Hot Islamic]	[[oil] [garlic] [onion] [cumin] [coriander] [tomato] [rice] [salt] [pepper] [lemon] [lentils]]	[Turkish Hot Soup Gourmet Mediterranean]	4.2	6
Chipotle_Spaguetti	[American Mexican Hot Pasta Islamic]	[[pasta] [salt] [garlic] [butter] [milk] [pepper] [mushroom]]	[American Mexican Hot Pasta Indian]	3.5	5
Scallop_of_foie_gras_marinated_in_elderberry_oil	[Spanish Italian Islamic French Gourmet Mediterranean Cold Modern]	[[foie] [artichoke] [tomato] [potato] [oil] [garlic] [onion] [coriander] [sesame] [butter] [eggs] [salt]]	[Spanish Italian French Gourmet Mediterranean Cold]	25	9
Vegan_Sandwich	[Kosher Vegetarian American Vegan Islamic Mediterranean Cold Vegetables Lactose-free Modern]	[[bread] [tomato] [oil] [ruccula] [avocado] [onion]]	[Mediterranean Cold Vegetables Spanish Italian French Mexican American]	8.5	3
Chinese_Noodles_With_Vegetables	[Vegetarian Kosher Islamic Chinese Hot Pasta Vegetables]	[[pasta] [oil] [carrot] [onion] [pepper] [mushroom] [soy] [salt]]	[Chinese Pasta Japanese Italan American Vegetables Hot]	4.2	7
Kareraisu	[Vegetarian Kosher Indian Japanese Islamic Hot Vegetables]	[[rice] [carrot] [tofu] [onion] [potato] [oil] [curry] [salt]]	[Indian Japanese Chinese Hot Vegetables]	6	7
American_Burguer	[American Hot Meat Lactose-free]	[[pork] [onion] [garlic] [eggs] [salt] [pepper] [bread]]	[American Hot Meat Mexican]	4	2
Harira	[Islamic Moroccan Lactose-Free Mediterranean Vegetables Meat Hot Soup Classical]	[[veal] [tomato] [pepper] [coriander] [lentils] [pasta]]	[Moroccan Mediterranean Hot Soup Vegetables Meat]	5	3
Braised_Lentils_Sausage_And_Black_Pudding	[Spanish Gluten-free Lactose-free Mediterranean Hot Soup Classical]	[[lentils] [onion] [garlic] [salt] [oil] [pork]]	[Spanish Mediterranean French Italian Hot Soup]	4	6
Sushi	[Japanese Kosher Islamic Gourmet Lactose-free Cold Fish]	[[salmon] [carrot] [rice] [avocado] [cucumber] [nori]]	[Japanese Cold Fish Chinese Gourmet]	5.2	7
Tajin	[Kosher Islamic Turkish Moroccan Gluten-free Lactose-free Mediterranean Hot Soup Classical]	[[chicken] [carrot] [onion] [tomato] [pepper] [oil] [salt]]	[Turkish Moroccan Mediterranean French Italian Hot Soup]	4.5	7
Cream_Of_Mushrooms_And_Chestnuts_With_Duck_Confit	[Kosher Islamic Spanish French Gourmet Gluten-free Mediterranean Hot Meat Modern]	[[onion] [mushroom] [duck] [milk] [oil]]	[Spanish French Italian Gourmet Mediterranean Hot Meat]	10.2	7
Broccoli_quiche	[American Vegetarian Mediterranean French Islamic Kosher Hot Vegetables Classical]	[[butter] [onion] [garlic] [butter] [milk] [broccoli] [cheese] [eggs] [salt] [pepper] [wheat_flour]]	[American Mediterranean Spanish Italian Moroccan French Vegetables Hot]	5.50	5
Mushroom_risotto	[Italian Classical Hot Gourmet Vegetarian Gluten-free Islamic Kosher]	[[rice] [cheese] [onion] [garlic] [white_wine_cook] [mushroom] [salt] [black_pepper] [butter] [celery] [chicken_broth]]	[Italian Gourmet French Spanish Mediterranean Hot]	7.00	6
Chana_masala	[Indian Vegetarian Gluten-free Lactose-free Vegan Vegetables Islamic Kosher Hot Classical Soup]	[[oil] [onion] [cumin] [salt] [turmeric] [garlic] [ginger] [cilantro] [chili_powder] [turmeric] [tomato] [lemon_juice] [masala] [chickpea]]	[Indian Vegetables Japanese Chinese Hot Soup]	6.50	6
Vegan_samosas	[Indian Vegetarian Gluten-free Vegetables Lactose-free Vegan Islamic Kosher Hot Modern]	[[vegetable_oil] [onion] [chickpea] [curry_paste] [apple] [filo] [wheat_flour]]	[Indian Hot Turkish Vegetables Mediterranean]	4.50	3
Tarhana_soup	[Turkish Soup Classical Hot Vegetarian]	[[tomato] [chicken_broth] [butter] [pepper] [onion] [yogurt] [oregano] [salt] [wheat_flour]]	[Turkish Soup Hot Vegetables Mediterranean Frehcn Italian]	6.00	4
Shumai	[Chinese Japanese Gourmet Modern Hot Vegetables Meat Lactose-free]	[[eggs] [wheat_flour] [salt] [pork] [onion] [ginger] [mushroom] [chickpea] [sesame_oil] [soy_sauce] [black_pepper]]	[Japanese Gourmet Indian Chinese Hot Vegetables]	6.00	5
Chinese_tiger_salad	[Chinese Vegetarian Vegan Gluten-free Lactose-free Kosher Vegetables Classical Cold Islamic]	[[cucumber] [salt] [onion] [vinegar] [sesame_oil] [coriander] [chili_pepper]]	[Chinese Japanese Indian Vegetables Cold]	4.10	3
