Cost1	Time1	UC1	Cost2	Time2	UC2	Cost3	Time3	UC3	Cost4	Time4	UC4
141143.0	5436	4	116345.0	4033	6	101003.0	3504	8	79442.0	3303	10
156574.0	4669	4	121075.0	3957	6	115976.0	3981	7	113936.0	3980	9
219954.0	4073	4	150877.0	4028	6	145484.0	3704	8	105131.0	3995	10
199729.0	4353	4	159968.0	4119	5	149226.0	3519	7	138371.0	4335	9
158359.0	4012	4	111928.0	3862	6	99208.0	3207	8	93913.0	3129	10
135497.0	3841	4	102283.0	3186	6	65554.0	3353	8	59739.0	3729	10
150857.0	4299	4	109235.0	3857	6	73672.0	2862	8	64206.0	3072	10
125284.0	4310	4	73048.0	3250	6	75328.0	3976	8	66731.0	3336	10
206598.0	4541	4	74990.0	3726	6	70653.0	3181	8	71507.0	3242	10
142046.0	4187	4	112513.0	3782	6	82646.0	3383	8	81054.0	3090	10
