Cost1	Time1	UC1	Cost2	Time2	UC2	Cost3	Time3	UC3	Cost4	Time4	UC4
150572.0	90	4	131439.0	49	6	145241.0	46	8	102257.0	46	10
197279.0	50	4	157840.0	47	6	128963.0	79	6	120325.0	45	8
265559.0	49	4	163995.0	46	6	166553.0	46	8	120207.0	49	10
219923.0	47	4	186936.0	45	6	167751.0	44	8	170368.0	44	9
209098.0	47	4	127356.0	45	6	160074.0	45	8	100144.0	44	10
165657.0	47	4	115875.0	45	6	72280.0	44	8	90211.0	44	9
167286.0	48	4	136600.0	46	6	77000.0	44	8	67110.0	45	10
249886.0	49	4	121356.0	46	6	78563.0	44	8	76002.0	46	10
228870.0	76	4	106391.0	45	6	71225.0	43	8	98142.0	44	10
205535.0	48	4	121626.0	46	6	113284.0	45	8	85056.0	44	10
