Weight	Cost	Information	Time
1.0	28697.0	26.0	6759
1.2	28697.0	26.0	6185
1.4	28697.0	26.0	6157
1.6	28946.0	28.0	5858
1.8	28308.0	31.0	6033
2.0	36728.0	91.0	5022
2.2	174049.0	259.0	4089
2.4	198952.0	265.0	4023
2.6	198952.0	265.0	3995
2.8	198952.0	265.0	4030
2.5	364246.0	265.0	4021
1.0	43255.0	35.0	5744
1.2	43255.0	35.0	5739
1.4	43255.0	35.0	5716
1.6	43233.0	35.0	5690
1.8	43233.0	35.0	5739
2.0	45258.0	35.0	5548
2.2	72042.0	126.0	5106
2.4	328432.0	265.0	3769
2.6	324983.0	265.0	4077
2.8	324983.0	265.0	4214
2.5	260244.0	265.0	3782
1.0	31047.0	29.0	6227
1.2	31047.0	29.0	6246
1.4	31047.0	29.0	6247
1.6	31171.0	29.0	5177
1.8	31274.0	34.0	5123
2.0	33729.0	33.0	5377
2.2	58116.0	111.0	4642
2.4	365805.0	265.0	3869
2.6	365685.0	265.0	3786
2.8	365685.0	265.0	4112
2.5	393686.0	265.0	3299
1.0	31804.0	10.0	6280
1.2	31804.0	10.0	6291
1.4	31692.0	10.0	6326
1.6	31742.0	10.0	6299
1.8	31260.0	10.0	6207
2.0	32736.0	21.0	5987
2.2	158539.0	243.0	4020
2.4	207492.0	265.0	4019
2.6	207492.0	265.0	3990
2.8	207492.0	265.0	3967
2.5	369520.0	265.0	4892
1.0	52936.0	23.0	6846
1.2	52936.0	23.0	6876
1.4	52936.0	23.0	6748
1.6	57087.0	23.0	6465
1.8	57087.0	23.0	6579
2.0	61320.0	23.0	5444
2.2	57209.0	32.0	6450
2.4	411843.0	265.0	4906
2.6	417320.0	265.0	4493
2.8	417320.0	265.0	4469
2.5	345259.0	265.0	5027
1.0	32012.0	31.0	6652
1.2	32012.0	31.0	6668
1.4	32012.0	31.0	6635
1.6	32012.0	31.0	6644
1.8	32026.0	30.0	6647
2.0	32986.0	41.0	6236
2.2	59073.0	115.0	5328
2.4	359916.0	265.0	4987
2.6	374804.0	265.0	4338
2.8	374804.0	265.0	4386
2.5	230408.0	265.0	5323
1.0	30281.0	28.0	6193
1.2	30281.0	28.0	6180
1.4	30286.0	33.0	5774
1.6	30286.0	33.0	6042
1.8	30044.0	33.0	5827
2.0	29818.0	31.0	5824
2.2	113798.0	186.0	4651
2.4	327032.0	264.0	4822
2.6	321567.0	265.0	4738
2.8	321567.0	265.0	4789
2.5	201054.0	265.0	3992
1.0	35741.0	22.0	6367
1.2	35741.0	22.0	6344
1.4	35741.0	22.0	6301
1.6	35741.0	22.0	6353
1.8	35741.0	22.0	6399
2.0	35853.0	23.0	6243
2.2	36502.0	34.0	6184
2.4	490645.0	265.0	4023
2.6	504103.0	265.0	4446
2.8	494871.0	265.0	4245
2.5	347384.0	265.0	4782
1.0	45433.0	42.0	5746
1.2	45433.0	42.0	5777
1.4	45433.0	42.0	5753
1.6	45357.0	42.0	5711
1.8	44718.0	33.0	5929
2.0	48290.0	79.0	5497
2.2	126280.0	208.0	4206
2.4	248474.0	265.0	4636
2.6	248460.0	265.0	4737
2.8	248460.0	265.0	4556
2.5	277289.0	265.0	3032
1.0	36345.0	34.0	5838
1.2	36345.0	34.0	5837
1.4	36345.0	34.0	5814
1.6	36405.0	40.0	5805
1.8	36372.0	41.0	6035
2.0	37590.0	56.0	5455
2.2	142953.0	219.0	4500
2.4	258435.0	265.0	4510
2.6	267187.0	265.0	4510
2.8	267187.0	265.0	4190
2.5	454075.0	265.0	5102
