Sensors	Centers	Cost	Information	Time	UC
100	4	130131.0	265.0	4322	4
150	6	140760.0	400.0	18280	6
200	8	123928.0	531.0	137359	8
250	10	149479.0	665.0	541277	10
300	12	164713.0	800.0	1013316	12
100	4	116357.0	265.0	4044	4
150	6	160748.0	400.0	20226	6
200	8	146518.0	531.0	135236	8
250	10	172016.0	665.0	513573	10
300	12	145100.0	800.0	856172	12
100	4	176483.0	265.0	4157	4
150	6	246766.0	400.0	21828	6
200	8	242805.0	531.0	159616	8
250	10	238070.0	665.0	663291	10
300	12	175183.0	800.0	998188	12
100	4	131295.0	265.0	3989	4
150	6	137593.0	400.0	19824	6
200	8	142074.0	531.0	131874	8
250	10	144809.0	665.0	550534	10
300	12	154117.0	800.0	974540	12
100	4	263957.0	265.0	4394	4
150	6	222011.0	400.0	22133	6
200	8	142886.0	531.0	168454	8
250	10	143970.0	665.0	582814	10
300	12	153717.0	800.0	991376	12
100	4	207742.0	265.0	4292	4
150	6	178110.0	400.0	19782	6
200	8	211559.0	531.0	160546	8
250	10	174040.0	665.0	499572	10
300	12	126917.0	800.0	907507	12
100	4	169854.0	265.0	4798	4
150	6	199538.0	400.0	21657	6
200	8	179884.0	531.0	173795	8
250	10	160979.0	665.0	589602	10
300	12	160763.0	800.0	937619	12
100	4	202119.0	265.0	4352	4
150	6	159872.0	400.0	20604	6
200	8	198394.0	531.0	152151	8
250	10	159115.0	665.0	545123	10
300	12	194316.0	800.0	1126527	12
100	4	102179.0	265.0	4190	4
150	6	92079.0	400.0	19980	6
200	8	107620.0	531.0	150642	8
250	10	125145.0	665.0	676311	10
300	12	138021.0	800.0	974686	12
100	4	179859.0	265.0	4280	4
150	6	122303.0	400.0	18739	6
200	8	144985.0	531.0	169196	8
250	10	172082.0	665.0	539027	10
300	12	128579.0	800.0	948189	12
