Sensors	Centers	Time
100	4	486
150	6	407
200	8	429
250	10	446
300	12	473
350	14	493
400	16	708
450	18	919
500	20	956
550	22	1007
100	4	169
150	6	211
200	8	277
250	10	345
300	12	425
350	14	478
400	16	622
450	18	905
500	20	952
550	22	1004
100	4	167
150	6	206
200	8	258
250	10	339
300	12	423
350	14	473
400	16	594
450	18	901
500	20	943
550	22	1009
100	4	153
150	6	211
200	8	255
250	10	349
300	12	417
350	14	472
400	16	586
450	18	905
500	20	941
550	22	1010
100	4	155
150	6	219
200	8	261
250	10	357
300	12	420
350	14	454
400	16	553
450	18	885
500	20	960
550	22	1031
100	4	155
150	6	218
200	8	255
250	10	351
300	12	401
350	14	461
400	16	588
450	18	891
500	20	933
550	22	1020
100	4	157
150	6	207
200	8	294
250	10	361
300	12	401
350	14	464
400	16	581
450	18	885
500	20	943
550	22	1049
100	4	157
150	6	209
200	8	295
250	10	342
300	12	413
350	14	467
400	16	587
450	18	894
500	20	959
550	22	1046
100	4	152
150	6	205
200	8	330
250	10	340
300	12	412
350	14	479
400	16	582
450	18	894
500	20	948
550	22	998
100	4	172
150	6	209
200	8	268
250	10	339
300	12	420
350	14	481
400	16	615
450	18	902
500	20	948
550	22	1002
