Initial Cost	Cost	Total iterations	Partial iterations	k	lambda
629744.0	407300.0	1000	100	1.0	0.001
629744.0	411866.0	1000	100	1.0	0.01
629744.0	386265.0	1000	100	1.0	0.1
629744.0	447636.0	1000	100	1.0	1.0
629744.0	408695.0	1000	100	5.0	0.001
629744.0	397229.0	1000	100	5.0	0.01
629744.0	409193.0	1000	100	5.0	0.1
629744.0	476226.0	1000	100	5.0	1.0
629744.0	373635.0	1000	100	25.0	0.001
629744.0	422298.0	1000	100	25.0	0.01
629744.0	400288.0	1000	100	25.0	0.1
629744.0	433159.0	1000	100	25.0	1.0
629744.0	381797.0	1000	100	125.0	0.001
629744.0	422753.0	1000	100	125.0	0.01
629744.0	389174.0	1000	100	125.0	0.1
629744.0	415734.0	1000	100	125.0	1.0
629744.0	407703.0	1000	200	1.0	0.001
629744.0	426548.0	1000	200	1.0	0.01
629744.0	406548.0	1000	200	1.0	0.1
629744.0	378955.0	1000	200	1.0	1.0
629744.0	468572.0	1000	200	5.0	0.001
629744.0	410958.0	1000	200	5.0	0.01
629744.0	377150.0	1000	200	5.0	0.1
629744.0	439330.0	1000	200	5.0	1.0
629744.0	415021.0	1000	200	25.0	0.001
629744.0	394364.0	1000	200	25.0	0.01
629744.0	426476.0	1000	200	25.0	0.1
629744.0	457780.0	1000	200	25.0	1.0
629744.0	415823.0	1000	200	125.0	0.001
629744.0	424750.0	1000	200	125.0	0.01
629744.0	401839.0	1000	200	125.0	0.1
629744.0	410015.0	1000	200	125.0	1.0
629744.0	392175.0	1000	300	1.0	0.001
629744.0	382328.0	1000	300	1.0	0.01
629744.0	397877.0	1000	300	1.0	0.1
629744.0	422223.0	1000	300	1.0	1.0
629744.0	492995.0	1000	300	5.0	0.001
629744.0	419103.0	1000	300	5.0	0.01
629744.0	406861.0	1000	300	5.0	0.1
629744.0	426596.0	1000	300	5.0	1.0
629744.0	397803.0	1000	300	25.0	0.001
629744.0	382654.0	1000	300	25.0	0.01
629744.0	361955.0	1000	300	25.0	0.1
629744.0	416976.0	1000	300	25.0	1.0
629744.0	417544.0	1000	300	125.0	0.001
629744.0	446450.0	1000	300	125.0	0.01
629744.0	397475.0	1000	300	125.0	0.1
629744.0	404108.0	1000	300	125.0	1.0
629744.0	431655.0	1000	400	1.0	0.001
629744.0	408643.0	1000	400	1.0	0.01
629744.0	413365.0	1000	400	1.0	0.1
629744.0	425556.0	1000	400	1.0	1.0
629744.0	370756.0	1000	400	5.0	0.001
629744.0	384067.0	1000	400	5.0	0.01
629744.0	409671.0	1000	400	5.0	0.1
629744.0	426261.0	1000	400	5.0	1.0
629744.0	393820.0	1000	400	25.0	0.001
629744.0	395276.0	1000	400	25.0	0.01
629744.0	399032.0	1000	400	25.0	0.1
629744.0	431824.0	1000	400	25.0	1.0
629744.0	364898.0	1000	400	125.0	0.001
629744.0	433599.0	1000	400	125.0	0.01
629744.0	383748.0	1000	400	125.0	0.1
629744.0	421043.0	1000	400	125.0	1.0
629744.0	376528.0	1000	500	1.0	0.001
629744.0	444035.0	1000	500	1.0	0.01
629744.0	379837.0	1000	500	1.0	0.1
629744.0	403458.0	1000	500	1.0	1.0
629744.0	364096.0	1000	500	5.0	0.001
629744.0	381497.0	1000	500	5.0	0.01
629744.0	376460.0	1000	500	5.0	0.1
629744.0	409651.0	1000	500	5.0	1.0
629744.0	383443.0	1000	500	25.0	0.001
629744.0	452431.0	1000	500	25.0	0.01
629744.0	395529.0	1000	500	25.0	0.1
629744.0	411179.0	1000	500	25.0	1.0
629744.0	387223.0	1000	500	125.0	0.001
629744.0	447177.0	1000	500	125.0	0.01
629744.0	389518.0	1000	500	125.0	0.1
629744.0	405596.0	1000	500	125.0	1.0
629744.0	464563.0	1000	600	1.0	0.001
629744.0	461480.0	1000	600	1.0	0.01
629744.0	416241.0	1000	600	1.0	0.1
629744.0	382322.0	1000	600	1.0	1.0
629744.0	385799.0	1000	600	5.0	0.001
629744.0	409379.0	1000	600	5.0	0.01
629744.0	417260.0	1000	600	5.0	0.1
629744.0	420915.0	1000	600	5.0	1.0
629744.0	373767.0	1000	600	25.0	0.001
629744.0	401550.0	1000	600	25.0	0.01
629744.0	402811.0	1000	600	25.0	0.1
629744.0	416788.0	1000	600	25.0	1.0
629744.0	394038.0	1000	600	125.0	0.001
629744.0	387318.0	1000	600	125.0	0.01
629744.0	431212.0	1000	600	125.0	0.1
