Information	Total iterations	Partial iterations	k	lambda
264.0	1000	100	1.0	0.001
265.0	1000	100	1.0	0.01
264.0	1000	100	1.0	0.1
265.0	1000	100	1.0	1.0
265.0	1000	100	5.0	0.001
263.0	1000	100	5.0	0.01
265.0	1000	100	5.0	0.1
265.0	1000	100	5.0	1.0
265.0	1000	100	25.0	0.001
254.0	1000	100	25.0	0.01
265.0	1000	100	25.0	0.1
265.0	1000	100	25.0	1.0
265.0	1000	100	125.0	0.001
263.0	1000	100	125.0	0.01
264.0	1000	100	125.0	0.1
265.0	1000	100	125.0	1.0
265.0	1000	200	1.0	0.001
265.0	1000	200	1.0	0.01
265.0	1000	200	1.0	0.1
265.0	1000	200	1.0	1.0
265.0	1000	200	5.0	0.001
265.0	1000	200	5.0	0.01
265.0	1000	200	5.0	0.1
265.0	1000	200	5.0	1.0
261.0	1000	200	25.0	0.001
265.0	1000	200	25.0	0.01
265.0	1000	200	25.0	0.1
265.0	1000	200	25.0	1.0
261.0	1000	200	125.0	0.001
260.0	1000	200	125.0	0.01
265.0	1000	200	125.0	0.1
265.0	1000	200	125.0	1.0
265.0	1000	300	1.0	0.001
264.0	1000	300	1.0	0.01
265.0	1000	300	1.0	0.1
265.0	1000	300	1.0	1.0
265.0	1000	300	5.0	0.001
265.0	1000	300	5.0	0.01
264.0	1000	300	5.0	0.1
263.0	1000	300	5.0	1.0
264.0	1000	300	25.0	0.001
265.0	1000	300	25.0	0.01
264.0	1000	300	25.0	0.1
259.0	1000	300	25.0	1.0
265.0	1000	300	125.0	0.001
265.0	1000	300	125.0	0.01
252.0	1000	300	125.0	0.1
265.0	1000	300	125.0	1.0
265.0	1000	400	1.0	0.001
265.0	1000	400	1.0	0.01
264.0	1000	400	1.0	0.1
265.0	1000	400	1.0	1.0
265.0	1000	400	5.0	0.001
264.0	1000	400	5.0	0.01
265.0	1000	400	5.0	0.1
265.0	1000	400	5.0	1.0
265.0	1000	400	25.0	0.001
265.0	1000	400	25.0	0.01
264.0	1000	400	25.0	0.1
265.0	1000	400	25.0	1.0
264.0	1000	400	125.0	0.001
265.0	1000	400	125.0	0.01
264.0	1000	400	125.0	0.1
265.0	1000	400	125.0	1.0
262.0	1000	500	1.0	0.001
265.0	1000	500	1.0	0.01
264.0	1000	500	1.0	0.1
265.0	1000	500	1.0	1.0
265.0	1000	500	5.0	0.001
265.0	1000	500	5.0	0.01
265.0	1000	500	5.0	0.1
262.0	1000	500	5.0	1.0
263.0	1000	500	25.0	0.001
255.0	1000	500	25.0	0.01
265.0	1000	500	25.0	0.1
260.0	1000	500	25.0	1.0
262.0	1000	500	125.0	0.001
261.0	1000	500	125.0	0.01
265.0	1000	500	125.0	0.1
265.0	1000	500	125.0	1.0
263.0	1000	600	1.0	0.001
265.0	1000	600	1.0	0.01
265.0	1000	600	1.0	0.1
263.0	1000	600	1.0	1.0
265.0	1000	600	5.0	0.001
265.0	1000	600	5.0	0.01
265.0	1000	600	5.0	0.1
265.0	1000	600	5.0	1.0
265.0	1000	600	25.0	0.001
265.0	1000	600	25.0	0.01
262.0	1000	600	25.0	0.1
265.0	1000	600	25.0	1.0
265.0	1000	600	125.0	0.001
265.0	1000	600	125.0	0.01
265.0	1000	600	125.0	0.1
265.0	1000	600	125.0	1.0
265.0	1000	700	1.0	0.001
265.0	1000	700	1.0	0.01
265.0	1000	700	1.0	0.1
265.0	1000	700	1.0	1.0
265.0	1000	700	5.0	0.001
259.0	1000	700	5.0	0.01
265.0	1000	700	5.0	0.1
265.0	1000	700	5.0	1.0
264.0	1000	700	25.0	0.001
264.0	1000	700	25.0	0.01
263.0	1000	700	25.0	0.1
265.0	1000	700	25.0	1.0
265.0	1000	700	125.0	0.001
265.0	1000	700	125.0	0.01
264.0	1000	700	125.0	0.1
265.0	1000	700	125.0	1.0
265.0	1000	800	1.0	0.001
265.0	1000	800	1.0	0.01
265.0	1000	800	1.0	0.1
252.0	1000	800	1.0	1.0
264.0	1000	800	5.0	0.001
253.0	1000	800	5.0	0.01
265.0	1000	800	5.0	0.1
265.0	1000	800	5.0	1.0
265.0	1000	800	25.0	0.001
264.0	1000	800	25.0	0.01
255.0	1000	800	25.0	0.1
264.0	1000	800	25.0	1.0
265.0	1000	800	125.0	0.001
261.0	1000	800	125.0	0.01
265.0	1000	800	125.0	0.1
262.0	1000	800	125.0	1.0
262.0	1000	900	1.0	0.001
258.0	1000	900	1.0	0.01
265.0	1000	900	1.0	0.1
265.0	1000	900	1.0	1.0
263.0	1000	900	5.0	0.001
264.0	1000	900	5.0	0.01
265.0	1000	900	5.0	0.1
262.0	1000	900	5.0	1.0
265.0	1000	900	25.0	0.001
265.0	1000	900	25.0	0.01
265.0	1000	900	25.0	0.1
262.0	1000	900	25.0	1.0
260.0	1000	900	125.0	0.001
265.0	1000	900	125.0	0.01
262.0	1000	900	125.0	0.1
261.0	1000	900	125.0	1.0
264.0	1000	1000	1.0	0.001
265.0	1000	1000	1.0	0.01
265.0	1000	1000	1.0	0.1
252.0	1000	1000	1.0	1.0
265.0	1000	1000	5.0	0.001
265.0	1000	1000	5.0	0.01
265.0	1000	1000	5.0	0.1
265.0	1000	1000	5.0	1.0
261.0	1000	1000	25.0	0.001
265.0	1000	1000	25.0	0.01
265.0	1000	1000	25.0	0.1
255.0	1000	1000	25.0	1.0
258.0	1000	1000	125.0	0.001
262.0	1000	1000	125.0	0.01
265.0	1000	1000	125.0	0.1
265.0	1000	1000	125.0	1.0
261.0	2000	100	1.0	0.001
265.0	2000	100	1.0	0.01
264.0	2000	100	1.0	0.1
265.0	2000	100	1.0	1.0
264.0	2000	100	5.0	0.001
265.0	2000	100	5.0	0.01
265.0	2000	100	5.0	0.1
265.0	2000	100	5.0	1.0
265.0	2000	100	25.0	0.001
259.0	2000	100	25.0	0.01
262.0	2000	100	25.0	0.1
265.0	2000	100	25.0	1.0
265.0	2000	100	125.0	0.001
263.0	2000	100	125.0	0.01
265.0	2000	100	125.0	0.1
264.0	2000	100	125.0	1.0
261.0	2000	200	1.0	0.001
256.0	2000	200	1.0	0.01
265.0	2000	200	1.0	0.1
257.0	2000	200	1.0	1.0
265.0	2000	200	5.0	0.001
264.0	2000	200	5.0	0.01
265.0	2000	200	5.0	0.1
261.0	2000	200	5.0	1.0
265.0	2000	200	25.0	0.001
262.0	2000	200	25.0	0.01
265.0	2000	200	25.0	0.1
260.0	2000	200	25.0	1.0
252.0	2000	200	125.0	0.001
260.0	2000	200	125.0	0.01
265.0	2000	200	125.0	0.1
265.0	2000	200	125.0	1.0
263.0	2000	300	1.0	0.001
265.0	2000	300	1.0	0.01
257.0	2000	300	1.0	0.1
265.0	2000	300	1.0	1.0
258.0	2000	300	5.0	0.001
255.0	2000	300	5.0	0.01
263.0	2000	300	5.0	0.1
265.0	2000	300	5.0	1.0
251.0	2000	300	25.0	0.001
263.0	2000	300	25.0	0.01
262.0	2000	300	25.0	0.1
256.0	2000	300	25.0	1.0
265.0	2000	300	125.0	0.001
265.0	2000	300	125.0	0.01
265.0	2000	300	125.0	0.1
261.0	2000	300	125.0	1.0
265.0	2000	400	1.0	0.001
262.0	2000	400	1.0	0.01
265.0	2000	400	1.0	0.1
265.0	2000	400	1.0	1.0
257.0	2000	400	5.0	0.001
265.0	2000	400	5.0	0.01
265.0	2000	400	5.0	0.1
260.0	2000	400	5.0	1.0
264.0	2000	400	25.0	0.001
265.0	2000	400	25.0	0.01
264.0	2000	400	25.0	0.1
257.0	2000	400	25.0	1.0
259.0	2000	400	125.0	0.001
264.0	2000	400	125.0	0.01
265.0	2000	400	125.0	0.1
265.0	2000	400	125.0	1.0
255.0	2000	500	1.0	0.001
265.0	2000	500	1.0	0.01
260.0	2000	500	1.0	0.1
265.0	2000	500	1.0	1.0
259.0	2000	500	5.0	0.001
263.0	2000	500	5.0	0.01
265.0	2000	500	5.0	0.1
265.0	2000	500	5.0	1.0
252.0	2000	500	25.0	0.001
263.0	2000	500	25.0	0.01
265.0	2000	500	25.0	0.1
265.0	2000	500	25.0	1.0
265.0	2000	500	125.0	0.001
263.0	2000	500	125.0	0.01
250.0	2000	500	125.0	0.1
265.0	2000	500	125.0	1.0
260.0	2000	600	1.0	0.001
264.0	2000	600	1.0	0.01
265.0	2000	600	1.0	0.1
265.0	2000	600	1.0	1.0
263.0	2000	600	5.0	0.001
265.0	2000	600	5.0	0.01
251.0	2000	600	5.0	0.1
264.0	2000	600	5.0	1.0
265.0	2000	600	25.0	0.001
265.0	2000	600	25.0	0.01
264.0	2000	600	25.0	0.1
265.0	2000	600	25.0	1.0
265.0	2000	600	125.0	0.001
265.0	2000	600	125.0	0.01
265.0	2000	600	125.0	0.1
258.0	2000	600	125.0	1.0
263.0	2000	700	1.0	0.001
265.0	2000	700	1.0	0.01
265.0	2000	700	1.0	0.1
262.0	2000	700	1.0	1.0
263.0	2000	700	5.0	0.001
262.0	2000	700	5.0	0.01
265.0	2000	700	5.0	0.1
265.0	2000	700	5.0	1.0
252.0	2000	700	25.0	0.001
258.0	2000	700	25.0	0.01
255.0	2000	700	25.0	0.1
265.0	2000	700	25.0	1.0
265.0	2000	700	125.0	0.001
265.0	2000	700	125.0	0.01
264.0	2000	700	125.0	0.1
265.0	2000	700	125.0	1.0
255.0	2000	800	1.0	0.001
264.0	2000	800	1.0	0.01
265.0	2000	800	1.0	0.1
263.0	2000	800	1.0	1.0
263.0	2000	800	5.0	0.001
265.0	2000	800	5.0	0.01
265.0	2000	800	5.0	0.1
265.0	2000	800	5.0	1.0
264.0	2000	800	25.0	0.001
264.0	2000	800	25.0	0.01
265.0	2000	800	25.0	0.1
265.0	2000	800	25.0	1.0
265.0	2000	800	125.0	0.001
265.0	2000	800	125.0	0.01
265.0	2000	800	125.0	0.1
265.0	2000	800	125.0	1.0
261.0	2000	900	1.0	0.001
252.0	2000	900	1.0	0.01
262.0	2000	900	1.0	0.1
265.0	2000	900	1.0	1.0
264.0	2000	900	5.0	0.001
261.0	2000	900	5.0	0.01
261.0	2000	900	5.0	0.1
264.0	2000	900	5.0	1.0
265.0	2000	900	25.0	0.001
265.0	2000	900	25.0	0.01
265.0	2000	900	25.0	0.1
265.0	2000	900	25.0	1.0
265.0	2000	900	125.0	0.001
265.0	2000	900	125.0	0.01
265.0	2000	900	125.0	0.1
250.0	2000	900	125.0	1.0
265.0	2000	1000	1.0	0.001
265.0	2000	1000	1.0	0.01
265.0	2000	1000	1.0	0.1
265.0	2000	1000	1.0	1.0
265.0	2000	1000	5.0	0.001
264.0	2000	1000	5.0	0.01
258.0	2000	1000	5.0	0.1
265.0	2000	1000	5.0	1.0
263.0	2000	1000	25.0	0.001
262.0	2000	1000	25.0	0.01
265.0	2000	1000	25.0	0.1
