Time	Total iterations	Partial iterations	k	lambda
31	1000	100	1.0	0.001
16	1000	100	1.0	0.01
20	1000	100	1.0	0.1
0	1000	100	1.0	1.0
15	1000	100	5.0	0.001
0	1000	100	5.0	0.01
0	1000	100	5.0	0.1
16	1000	100	5.0	1.0
0	1000	100	25.0	0.001
0	1000	100	25.0	0.01
15	1000	100	25.0	0.1
0	1000	100	25.0	1.0
16	1000	100	125.0	0.001
0	1000	100	125.0	0.01
16	1000	100	125.0	0.1
0	1000	100	125.0	1.0
0	1000	200	1.0	0.001
15	1000	200	1.0	0.01
16	1000	200	1.0	0.1
4	1000	200	1.0	1.0
0	1000	200	5.0	0.001
16	1000	200	5.0	0.01
0	1000	200	5.0	0.1
0	1000	200	5.0	1.0
16	1000	200	25.0	0.001
0	1000	200	25.0	0.01
0	1000	200	25.0	0.1
15	1000	200	25.0	1.0
0	1000	200	125.0	0.001
16	1000	200	125.0	0.01
0	1000	200	125.0	0.1
15	1000	200	125.0	1.0
0	1000	300	1.0	0.001
0	1000	300	1.0	0.01
16	1000	300	1.0	0.1
0	1000	300	1.0	1.0
0	1000	300	5.0	0.001
19	1000	300	5.0	0.01
0	1000	300	5.0	0.1
0	1000	300	5.0	1.0
0	1000	300	25.0	0.001
16	1000	300	25.0	0.01
0	1000	300	25.0	0.1
15	1000	300	25.0	1.0
0	1000	300	125.0	0.001
0	1000	300	125.0	0.01
16	1000	300	125.0	0.1
0	1000	300	125.0	1.0
0	1000	400	1.0	0.001
16	1000	400	1.0	0.01
0	1000	400	1.0	0.1
0	1000	400	1.0	1.0
15	1000	400	5.0	0.001
0	1000	400	5.0	0.01
16	1000	400	5.0	0.1
6	1000	400	5.0	1.0
2	1000	400	25.0	0.001
0	1000	400	25.0	0.01
16	1000	400	25.0	0.1
0	1000	400	25.0	1.0
16	1000	400	125.0	0.001
0	1000	400	125.0	0.01
15	1000	400	125.0	0.1
0	1000	400	125.0	1.0
0	1000	500	1.0	0.001
16	1000	500	1.0	0.01
0	1000	500	1.0	0.1
0	1000	500	1.0	1.0
15	1000	500	5.0	0.001
0	1000	500	5.0	0.01
0	1000	500	5.0	0.1
16	1000	500	5.0	1.0
0	1000	500	25.0	0.001
0	1000	500	25.0	0.01
0	1000	500	25.0	0.1
20	1000	500	25.0	1.0
0	1000	500	125.0	0.001
0	1000	500	125.0	0.01
0	1000	500	125.0	0.1
16	1000	500	125.0	1.0
0	1000	600	1.0	0.001
0	1000	600	1.0	0.01
16	1000	600	1.0	0.1
0	1000	600	1.0	1.0
0	1000	600	5.0	0.001
15	1000	600	5.0	0.01
0	1000	600	5.0	0.1
0	1000	600	5.0	1.0
16	1000	600	25.0	0.001
0	1000	600	25.0	0.01
0	1000	600	25.0	0.1
15	1000	600	25.0	1.0
0	1000	600	125.0	0.001
0	1000	600	125.0	0.01
16	1000	600	125.0	0.1
0	1000	600	125.0	1.0
0	1000	700	1.0	0.001
0	1000	700	1.0	0.01
20	1000	700	1.0	0.1
0	1000	700	1.0	1.0
0	1000	700	5.0	0.001
0	1000	700	5.0	0.01
0	1000	700	5.0	0.1
0	1000	700	5.0	1.0
0	1000	700	25.0	0.001
15	1000	700	25.0	0.01
0	1000	700	25.0	0.1
16	1000	700	25.0	1.0
0	1000	700	125.0	0.001
16	1000	700	125.0	0.01
0	1000	700	125.0	0.1
15	1000	700	125.0	1.0
0	1000	800	1.0	0.001
16	1000	800	1.0	0.01
0	1000	800	1.0	0.1
16	1000	800	1.0	1.0
8	1000	800	5.0	0.001
9	1000	800	5.0	0.01
5	1000	800	5.0	0.1
3	1000	800	5.0	1.0
5	1000	800	25.0	0.001
1	1000	800	25.0	0.01
0	1000	800	25.0	0.1
0	1000	800	25.0	1.0
16	1000	800	125.0	0.001
0	1000	800	125.0	0.01
0	1000	800	125.0	0.1
0	1000	800	125.0	1.0
15	1000	900	1.0	0.001
0	1000	900	1.0	0.01
0	1000	900	1.0	0.1
16	1000	900	1.0	1.0
0	1000	900	5.0	0.001
0	1000	900	5.0	0.01
0	1000	900	5.0	0.1
16	1000	900	5.0	1.0
0	1000	900	25.0	0.001
0	1000	900	25.0	0.01
15	1000	900	25.0	0.1
4	1000	900	25.0	1.0
0	1000	900	125.0	0.001
0	1000	900	125.0	0.01
0	1000	900	125.0	0.1
17	1000	900	125.0	1.0
4	1000	1000	1.0	0.001
4	1000	1000	1.0	0.01
5	1000	1000	1.0	0.1
5	1000	1000	1.0	1.0
5	1000	1000	5.0	0.001
0	1000	1000	5.0	0.01
9	1000	1000	5.0	0.1
6	1000	1000	5.0	1.0
5	1000	1000	25.0	0.001
4	1000	1000	25.0	0.01
4	1000	1000	25.0	0.1
3	1000	1000	25.0	1.0
0	1000	1000	125.0	0.001
0	1000	1000	125.0	0.01
16	1000	1000	125.0	0.1
0	1000	1000	125.0	1.0
0	2000	100	1.0	0.001
25	2000	100	1.0	0.01
10	2000	100	1.0	0.1
4	2000	100	1.0	1.0
10	2000	100	5.0	0.001
9	2000	100	5.0	0.01
3	2000	100	5.0	0.1
0	2000	100	5.0	1.0
16	2000	100	25.0	0.001
0	2000	100	25.0	0.01
22	2000	100	25.0	0.1
4	2000	100	25.0	1.0
9	2000	100	125.0	0.001
9	2000	100	125.0	0.01
0	2000	100	125.0	0.1
15	2000	100	125.0	1.0
16	2000	200	1.0	0.001
15	2000	200	1.0	0.01
0	2000	200	1.0	0.1
16	2000	200	1.0	1.0
16	2000	200	5.0	0.001
15	2000	200	5.0	0.01
16	2000	200	5.0	0.1
4	2000	200	5.0	1.0
0	2000	200	25.0	0.001
0	2000	200	25.0	0.01
16	2000	200	25.0	0.1
0	2000	200	25.0	1.0
15	2000	200	125.0	0.001
0	2000	200	125.0	0.01
16	2000	200	125.0	0.1
0	2000	200	125.0	1.0
16	2000	300	1.0	0.001
0	2000	300	1.0	0.01
15	2000	300	1.0	0.1
0	2000	300	1.0	1.0
20	2000	300	5.0	0.001
0	2000	300	5.0	0.01
16	2000	300	5.0	0.1
0	2000	300	5.0	1.0
16	2000	300	25.0	0.001
0	2000	300	25.0	0.01
15	2000	300	25.0	0.1
0	2000	300	25.0	1.0
16	2000	300	125.0	0.001
0	2000	300	125.0	0.01
15	2000	300	125.0	0.1
0	2000	300	125.0	1.0
16	2000	400	1.0	0.001
0	2000	400	1.0	0.01
20	2000	400	1.0	0.1
0	2000	400	1.0	1.0
0	2000	400	5.0	0.001
16	2000	400	5.0	0.01
16	2000	400	5.0	0.1
0	2000	400	5.0	1.0
0	2000	400	25.0	0.001
15	2000	400	25.0	0.01
16	2000	400	25.0	0.1
0	2000	400	25.0	1.0
15	2000	400	125.0	0.001
0	2000	400	125.0	0.01
18	2000	400	125.0	0.1
4	2000	400	125.0	1.0
0	2000	500	1.0	0.001
16	2000	500	1.0	0.01
0	2000	500	1.0	0.1
16	2000	500	1.0	1.0
0	2000	500	5.0	0.001
15	2000	500	5.0	0.01
0	2000	500	5.0	0.1
16	2000	500	5.0	1.0
0	2000	500	25.0	0.001
16	2000	500	25.0	0.01
0	2000	500	25.0	0.1
15	2000	500	25.0	1.0
0	2000	500	125.0	0.001
21	2000	500	125.0	0.01
0	2000	500	125.0	0.1
0	2000	500	125.0	1.0
15	2000	600	1.0	0.001
16	2000	600	1.0	0.01
0	2000	600	1.0	0.1
16	2000	600	1.0	1.0
0	2000	600	5.0	0.001
15	2000	600	5.0	0.01
0	2000	600	5.0	0.1
18	2000	600	5.0	1.0
9	2000	600	25.0	0.001
9	2000	600	25.0	0.01
3	2000	600	25.0	0.1
0	2000	600	25.0	1.0
16	2000	600	125.0	0.001
0	2000	600	125.0	0.01
16	2000	600	125.0	0.1
0	2000	600	125.0	1.0
15	2000	700	1.0	0.001
16	2000	700	1.0	0.01
0	2000	700	1.0	0.1
15	2000	700	1.0	1.0
0	2000	700	5.0	0.001
16	2000	700	5.0	0.01
0	2000	700	5.0	0.1
19	2000	700	5.0	1.0
1	2000	700	25.0	0.001
16	2000	700	25.0	0.01
0	2000	700	25.0	0.1
17	2000	700	25.0	1.0
9	2000	700	125.0	0.001
10	2000	700	125.0	0.01
11	2000	700	125.0	0.1
6	2000	700	125.0	1.0
0	2000	800	1.0	0.001
15	2000	800	1.0	0.01
16	2000	800	1.0	0.1
3	2000	800	1.0	1.0
0	2000	800	5.0	0.001
18	2000	800	5.0	0.01
11	2000	800	5.0	0.1
4	2000	800	5.0	1.0
9	2000	800	25.0	0.001
10	2000	800	25.0	0.01
9	2000	800	25.0	0.1
2	2000	800	25.0	1.0
0	2000	800	125.0	0.001
16	2000	800	125.0	0.01
0	2000	800	125.0	0.1
16	2000	800	125.0	1.0
0	2000	900	1.0	0.001
18	2000	900	1.0	0.01
3	2000	900	1.0	0.1
0	2000	900	1.0	1.0
15	2000	900	5.0	0.001
0	2000	900	5.0	0.01
16	2000	900	5.0	0.1
0	2000	900	5.0	1.0
16	2000	900	25.0	0.001
0	2000	900	25.0	0.01
15	2000	900	25.0	0.1
0	2000	900	25.0	1.0
16	2000	900	125.0	0.001
0	2000	900	125.0	0.01
15	2000	900	125.0	0.1
0	2000	900	125.0	1.0
21	2000	1000	1.0	0.001
0	2000	1000	1.0	0.01
15	2000	1000	1.0	0.1
0	2000	1000	1.0	1.0
16	2000	1000	5.0	0.001
0	2000	1000	5.0	0.01
16	2000	1000	5.0	0.1
0	2000	1000	5.0	1.0
15	2000	1000	25.0	0.001
0	2000	1000	25.0	0.01
16	2000	1000	25.0	0.1
0	2000	1000	25.0	1.0
15	2000	1000	125.0	0.001
0	2000	1000	125.0	0.01
20	2000	1000	125.0	0.1
0	2000	1000	125.0	1.0
16	3000	100	1.0	0.001
16	3000	100	1.0	0.01
0	3000	100	1.0	0.1
15	3000	100	1.0	1.0
16	3000	100	5.0	0.001
0	3000	100	5.0	0.01
16	3000	100	5.0	0.1
15	3000	100	5.0	1.0
0	3000	100	25.0	0.001
23	3000	100	25.0	0.01
16	3000	100	25.0	0.1
0	3000	100	25.0	1.0
16	3000	100	125.0	0.001
15	3000	100	125.0	0.01
16	3000	100	125.0	0.1
0	3000	100	125.0	1.0
15	3000	200	1.0	0.001
18	3000	200	1.0	0.01
14	3000	200	1.0	0.1
4	3000	200	1.0	1.0
8	3000	200	5.0	0.001
15	3000	200	5.0	0.01
16	3000	200	5.0	0.1
0	3000	200	5.0	1.0
15	3000	200	25.0	0.001
16	3000	200	25.0	0.01
16	3000	200	25.0	0.1
4	3000	200	25.0	1.0
3	3000	200	125.0	0.001
16	3000	200	125.0	0.01
15	3000	200	125.0	0.1
0	3000	200	125.0	1.0
16	3000	300	1.0	0.001
15	3000	300	1.0	0.01
16	3000	300	1.0	0.1
0	3000	300	1.0	1.0
20	3000	300	5.0	0.001
16	3000	300	5.0	0.01
15	3000	300	5.0	0.1
0	3000	300	5.0	1.0
16	3000	300	25.0	0.001
16	3000	300	25.0	0.01
15	3000	300	25.0	0.1
0	3000	300	25.0	1.0
16	3000	300	125.0	0.001
17	3000	300	125.0	0.01
3	3000	300	125.0	0.1
16	3000	300	125.0	1.0
15	3000	400	1.0	0.001
16	3000	400	1.0	0.01
